yahoo_ticker,isin,tr_ticker,exchange,currency,instrument_class,isin_source
AAPL,US0378331005,AAPL,LS Exchange,USD,EQUITY,user
MSFT,US5949181045,MSFT,LS Exchange,USD,EQUITY,user
NVDA,US67066G1040,NVDA,LS Exchange,USD,EQUITY,user
GOOGL,US02079K3059,GOOGL,LS Exchange,USD,EQUITY,user
AMZN,US0231351067,AMZN,LS Exchange,USD,EQUITY,user
TSLA,US88160R1014,TSLA,LS Exchange,USD,EQUITY,user
META,US30303M1027,META,LS Exchange,USD,EQUITY,user
JPM,US46625H1005,JPM,LS Exchange,USD,EQUITY,user
XOM,US30231G1022,XOM,LS Exchange,USD,EQUITY,user
VOO,US9229083632,VUSA.DE,LS Exchange,USD,ETF,user
URTH,US9220428588,IWDA.AS,LS Exchange,USD,ETF,user
EUNL.DE,IE00B4L5Y983,EUNL.DE,LS Exchange,EUR,ETF,user
CSPX.L,IE00B5BMR087,CSPX.L,LS Exchange,GBX,ETF,user
IWDA.AS,IE00B4L5Y983,IWDA.AS,LS Exchange,EUR,ETF,user
EIMI.L,IE00B4M3GH31,EIMI.L,LS Exchange,GBX,ETF,user
EXW1.DE,DE0005933956,EXW1.DE,LS Exchange,EUR,ETF,user
EXIA.DE,DE0005933972,EXIA.DE,LS Exchange,EUR,ETF,user
SXRV.DE,IE00B0M62Q58,SXRV.DE,LS Exchange,EUR,ETF,user
IQQQ.DE,IE00B0M62Q58,IQQQ.DE,LS Exchange,EUR,ETF,user
GLUG.L,IE00B0M62Q58,GLUG.L,LS Exchange,GBX,ETF,user
GLD,US78463V1070,GLD,LS Exchange,USD,COMMODITY,user
SLV,US46428Q1094,SLV,LS Exchange,USD,COMMODITY,user
XEON.DE,,XEON.DE,LS Exchange,EUR,CASH,
SHEL,GB00BP6MXD84,SHEL,LS Exchange,GBX,EQUITY,user
RHM.DE,DE0007030009,RHM.DE,LS Exchange,EUR,EQUITY,user
SAP.DE,DE0007164600,SAP.DE,LS Exchange,EUR,EQUITY,user
ALV.DE,DE0008404005,ALV.DE,LS Exchange,EUR,EQUITY,user
DBK.DE,DE0005140008,DBK.DE,LS Exchange,EUR,EQUITY,user
BAS.DE,DE000BASF111,BAS.DE,LS Exchange,EUR,EQUITY,user
BAYN.DE,DE000BAY0017,BAYN.DE,LS Exchange,EUR,EQUITY,user
VOW3.DE,DE0007664039,VOW3.DE,LS Exchange,EUR,EQUITY,user
5J50.DE,IE000U9ODG19,5J50.DE,LS Exchange,EUR,ETF,curated
